배정예선,선박명,작업 시작지,작업 종료지,스케줄 시작 시각,도선사,톤수
"T,E",KEOJE CORDELIA,N-HOB,PAL,2024-06-14T05:30:00.000Z,,8689
"N,W",PACIFIC SAMBU,SKI 2,PAL,2024-06-14T04:30:00.000Z,BJ,2748
"미,O",DOOLA #7,E5,N-HOB,2024-06-14T21:00:00.000Z,,6402
"A,E",DA LI,PAL,CP,2024-06-14T21:40:00.000Z,,24550
T,유진,HIDC,PAL,2024-06-14T21:00:00.000Z,,4727
L,HEUNG-A AKITA,NPPS,HJIT2,2024-06-15T18:00:00.000Z,,9998
"S,미",RESURGENCE,PAL,ICT1,2024-06-15T14:00:00.000Z,,9443
"Q,W",FC GRACE,PAL,N-HOB,2024-06-15T11:00:00.000Z,,4960
"B,V",WOOYANG FRIEND,JANG,YHD1,2024-06-15T10:00:00.000Z,LO,43158
"F2,H,J,A,F2",M.STAR,SKI 3,DONG,2024-06-15T09:30:00.000Z,BJ,160705
"비,명,해",GOOD LUCK,43,DONG,2024-06-15T04:30:00.000Z,YM,41074
T,MORNING VICTORY,RHC,PAL,2024-06-15T09:00:00.000Z,,5222
"W,N",NO.8 SJ GAS,SKI 1,PAL,2024-06-15T03:45:00.000Z,,2981
"H,J",SUNRISE GLORY,JANG,SKI 3,2024-06-15T08:30:00.000Z,YM,29649
